@@object,@@object_lifecycle_length,@@object_general_interaction_graph,@@ocel_lif_activity_A_Validating,@@ocel_lif_activity_A_Incomplete,@@ocel_lif_activity_W_Call incomplete files,@@ocel_lif_activity_A_Accepted,@@ocel_lif_activity_A_Concept,@@ocel_lif_activity_W_Validate application,@@ocel_lif_activity_W_Shortened completion ,@@ocel_lif_activity_O_Created,@@ocel_lif_activity_O_Returned,@@ocel_lif_activity_O_Sent (online only),@@ocel_lif_activity_A_Cancelled,@@ocel_lif_activity_W_Assess potential fraud,@@ocel_lif_activity_A_Pending,@@ocel_lif_activity_W_Call after offers,@@ocel_lif_activity_O_Create Offer,@@ocel_lif_activity_W_Personal Loan collection,@@ocel_lif_activity_W_Handle leads,@@ocel_lif_activity_A_Submitted,@@ocel_lif_activity_O_Refused,@@ocel_lif_activity_O_Sent (mail and online),@@ocel_lif_activity_A_Denied,@@ocel_lif_activity_A_Create Application,@@ocel_lif_activity_A_Complete,@@ocel_lif_activity_O_Cancelled,@@ocel_lif_activity_O_Accepted,@@ocel_lif_activity_W_Complete application,@@object_lifecycle_unq_act,cluster
 Offer_1969155383 Application_2028935007,19,2,1,0,0,1,1,1,0,2,1,0,0,0,0,2,1,0,1,1,2,1,1,1,1,0,0,1,19,0
 Offer_1452915281 Offer_1372954610 Application_954463239,24,4,1,0,0,1,1,1,0,4,1,0,0,0,0,2,2,0,0,1,4,2,1,1,1,0,0,1,21,4
 Offer_439384083 Offer_923977722 Application_1464259642,32,4,3,2,2,1,1,3,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,24,1
 Offer_1441766432 Application_700302428,14,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,0,0,1,0,1,1,2,0,1,14,3
 Offer_1079534014 Application_1130348546,21,2,1,1,1,1,1,1,0,2,1,0,1,0,0,2,1,0,1,1,0,1,0,1,1,2,0,1,21,0
 Offer_2093114135 Offer_492023709 Application_1062630788 Offer_69931730 Offer_51433619,35,8,1,0,0,1,1,1,0,8,1,3,0,0,0,2,4,0,0,0,8,1,1,1,1,0,0,1,26,1
 Application_1442140625 Offer_1326998582,23,2,2,1,1,1,1,3,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_118344356 Offer_1799255227 Application_1884073003,25,4,1,1,1,1,1,1,0,4,1,1,0,0,1,2,2,0,0,0,0,1,0,1,1,2,2,1,23,4
 Offer_1731205205 Application_700898434 Offer_1083405235,27,4,2,1,1,1,1,2,0,4,1,0,0,0,1,2,2,0,0,0,0,2,0,1,1,2,2,1,23,4
 Application_798560603 Offer_1949654354,21,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,0
 Offer_1942661868 Application_1857968763,14,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,0,0,1,0,1,1,2,0,1,14,3
 Offer_531618252 Offer_1091086580 Application_1657554694,23,4,1,0,0,1,1,1,0,4,1,0,0,0,1,2,2,0,0,0,0,2,0,1,1,2,2,1,21,4
 Application_1134241893 Offer_2056882636,18,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,18,0
 Application_902693704 Offer_1512458121,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_556906787 Application_202955537,19,2,1,1,1,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,0
 Application_1696111535 Offer_183186998 Offer_521587351,31,4,3,2,2,1,1,3,0,4,1,0,0,0,1,2,2,0,0,0,0,2,0,1,1,2,2,1,23,1
 Application_1659153236 Offer_1233325457,17,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,2,1,0,1,0,1,1,2,0,1,16,3
 Offer_1377553526 Offer_1479400799 Application_979127095 Offer_419024149,26,6,0,0,0,1,1,0,0,6,0,1,1,0,0,2,3,0,0,0,0,2,0,1,1,6,0,1,20,4
 Application_102625262 Offer_1308307539 Offer_441958014,23,4,1,0,0,1,1,1,0,4,1,0,0,0,0,2,2,0,0,1,4,1,1,1,1,0,0,1,20,4
 Application_1409740498 Offer_1326912621,18,2,1,0,0,1,1,1,0,2,1,0,0,0,0,2,1,0,0,1,2,1,1,1,1,0,0,1,18,0
 Application_977257239 Offer_751443796,19,2,1,0,0,1,1,1,0,2,1,0,0,0,0,2,1,0,1,1,2,1,1,1,1,0,0,1,19,0
 Application_278804236 Offer_950122920,18,2,1,0,0,1,1,1,0,2,1,0,0,0,0,2,1,0,0,1,2,1,1,1,1,0,0,1,18,0
 Application_721267553 Offer_44654271,22,2,2,1,1,1,1,2,0,2,1,0,0,0,0,2,1,0,0,1,2,1,1,1,1,0,0,1,20,0
 Offer_1303107694 Application_1478160778,25,2,2,2,2,1,1,3,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,5
 Application_1459536558 Offer_1029370915,16,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,1,1,0,1,0,1,1,2,0,1,16,3
 Offer_1967369611 Application_1936510972 Offer_387042528,28,4,2,1,1,1,1,2,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,24,4
 Application_1410679121 Offer_1635759092,23,2,2,2,2,1,1,2,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,5
 Application_1768888685 Offer_29618487 Offer_981899509,29,4,2,1,1,1,1,2,0,4,2,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,25,4
 Offer_1000681710 Application_2131314372 Offer_387079522,24,4,1,0,0,1,1,1,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,22,4
 Offer_346918147 Application_1060528695 Offer_903632568,32,4,3,2,2,1,1,3,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,24,1
 Application_828905217 Offer_1900188833,14,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,0,0,1,0,1,1,2,0,1,14,3
 Offer_283621389 Application_1369214764,17,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,17,0
 Offer_1608066381 Offer_2033998835 Application_1775408381,27,4,2,1,1,1,1,2,0,4,1,0,0,0,1,2,2,0,0,0,0,2,0,1,1,2,2,1,23,4
 Offer_788441648 Application_2140560070,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_144096227 Application_1035547655,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Offer_352354541 Application_1407752194 Offer_204060580,27,4,2,1,1,1,1,2,0,4,1,0,0,0,1,2,2,0,0,0,0,2,0,1,1,2,2,1,23,4
 Offer_680438787 Application_1736511903 Offer_906666630,21,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,0,1,0,2,0,1,1,4,0,1,18,0
 Application_780344640 Offer_149403299,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_1873736719 Offer_450192064 Offer_170774483,20,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,0,0,0,2,0,1,1,4,0,1,17,0
 Application_2071646053 Offer_961575151 Offer_1447394862 Offer_1765380116,33,6,1,1,1,1,1,1,0,6,1,1,0,0,1,2,3,0,1,1,0,2,0,1,1,4,2,1,28,1
 Application_997212735 Offer_1338078489,14,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,0,0,1,0,1,1,2,0,1,14,3
 Application_1624967843 Offer_1127715762,24,2,2,2,2,1,1,2,0,2,1,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,20,5
 Offer_803256592 Application_551059309,21,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,0
 Application_766151088 Offer_706918400,14,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,0,0,1,0,1,1,2,0,1,14,3
 Application_424038944 Offer_602349641,18,2,1,0,0,1,1,1,0,2,1,0,0,0,0,2,1,0,0,1,2,1,1,1,1,0,0,1,18,0
 Offer_535972205 Application_504209349 Offer_230775283,28,4,2,1,1,1,1,2,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,24,4
 Offer_311102922 Application_1584263540,28,2,3,3,3,1,1,3,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,5
 Offer_1823897339 Application_1908395112,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Offer_443417187 Application_1434353417,21,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,0
 Offer_647246600 Application_2098242568,16,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,1,1,0,1,0,1,1,2,0,1,16,3
 Offer_686767037 Application_1179291038 Offer_1371631792 Offer_320494690 Offer_1400977528,40,8,2,1,1,1,1,2,0,8,1,0,0,0,1,2,4,0,0,1,0,4,0,1,1,6,2,1,30,1
 Offer_1831185583 Application_250211561,26,2,3,2,2,1,1,4,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,5
 Application_69518826 Offer_1130041380,23,2,2,2,2,1,1,2,0,2,1,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,0,19,5
 Offer_694437263 Offer_361789427 Application_1007423229,24,4,1,0,0,1,1,1,0,4,1,0,0,0,0,2,2,0,0,1,4,2,1,1,1,0,0,1,21,4
 Offer_59648893 Application_646782980,21,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,0
 Offer_1391113488 Application_1723931572,25,2,2,2,2,1,1,2,0,2,1,0,0,0,1,2,1,0,1,1,0,1,0,1,1,0,2,1,21,5
 Application_1399193504 Offer_449844968,14,2,0,0,0,1,1,0,0,2,0,1,1,0,0,2,1,0,0,0,0,0,0,1,1,2,0,1,14,3
 Offer_1727273668 Offer_1177477641 Offer_1894287890 Application_1354811170,30,6,1,0,0,1,1,1,0,6,1,0,0,0,0,2,3,0,0,1,6,3,1,1,1,0,0,1,24,4
 Offer_180151119 Application_588423912 Offer_2138405303 Offer_639848509,29,6,1,0,0,1,1,1,0,6,1,0,0,0,0,2,3,0,0,0,6,3,1,1,1,0,0,1,23,4
 Offer_1865052834 Offer_399242464 Application_77630972,34,4,2,2,2,1,1,4,0,4,2,1,0,1,1,2,2,0,0,1,0,1,0,1,1,2,2,1,26,1
 Offer_2090676440 Application_1400938454,17,2,1,0,0,1,1,1,0,2,1,0,0,0,0,2,1,0,0,0,2,1,1,1,1,0,0,1,17,0
 Offer_911321253 Offer_848160255 Application_73210566,21,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,0,1,0,2,0,1,1,4,0,1,18,0
 Application_1716758093 Offer_1788739271,19,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,1,1,0,1,0,1,1,0,2,1,19,0
 Application_930773501 Offer_1106423849,16,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,1,1,0,1,0,1,1,2,0,1,16,3
 Application_368899502 Offer_2093178101 Offer_1448699688,22,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,1,1,0,2,0,1,1,4,0,1,19,0
 Application_1441444044 Offer_569519745,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Application_1294212373 Offer_263492720,17,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,17,0
 Offer_1598140705 Application_416465801,21,2,1,1,1,1,1,1,0,2,1,0,0,0,1,2,1,0,1,1,0,1,0,1,1,0,2,1,21,0
 Offer_1614224503 Application_2122840308,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_1102547176 Offer_1205765288,21,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,0
 Application_1081666766 Offer_45591982,21,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,0
 Application_1662697397 Offer_1946517203,21,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,0
 Application_1692777157 Offer_640785186,21,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,0
 Application_669230329 Offer_1188168908,21,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,0
 Application_405323885 Offer_1787000180,14,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,0,0,1,0,1,1,2,0,1,14,3
 Application_482734996 Offer_2101577251,17,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,17,0
 Application_688896697 Offer_889082971,17,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,17,0
 Application_1476622990 Offer_694000227,25,2,3,2,2,1,1,3,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,5
 Offer_1948713728 Application_1743880423 Offer_879422431 Offer_2068916691,34,6,2,1,1,1,1,2,0,6,2,2,0,0,1,2,3,0,0,0,0,1,0,1,1,4,2,1,27,1
 Application_1274116272 Offer_406999573,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Application_1848449060 Offer_523814399,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_1835081606 Application_1641940616,19,2,1,0,0,1,1,2,0,2,1,0,0,0,0,2,1,0,0,1,2,1,1,1,1,0,0,1,18,0
 Application_1713672177 Offer_1868552969 Offer_1489493632,24,4,1,0,0,1,1,1,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,22,4
 Offer_225847213 Application_1142368645,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_1755502369 Application_1490547557,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_1079421280 Offer_532160401,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_553480929 Offer_1690128546,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Application_172007673 Offer_2105943847,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Application_504856464 Offer_1298522746 Offer_1678770072,35,4,3,2,2,1,1,4,0,4,1,0,0,0,1,2,2,0,2,1,0,2,0,1,1,2,2,1,25,1
 Application_929962035 Offer_358406770,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_30639242 Application_1958658032,26,2,3,2,2,1,1,3,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,5
 Offer_1921376921 Application_1383319711,16,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,1,1,0,1,0,1,1,2,0,1,16,3
 Application_356554912 Offer_1025766634,18,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,18,0
 Application_1918971781 Offer_941015604,22,2,2,1,1,1,1,2,0,2,1,0,0,0,0,2,1,0,0,1,2,1,1,1,1,0,0,1,20,0
 Application_699005200 Offer_73310126,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_557658329 Application_561923508,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_246227284 Offer_446559957 Offer_222709056,28,4,2,1,1,1,1,2,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,24,4
 Offer_567328128 Application_1748485740,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Offer_2134752453 Application_1752075629,18,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,18,0
 Application_2096202597 Offer_312993146,16,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,1,1,0,1,0,1,1,2,0,1,16,3
 Application_389567271 Offer_2100288031,19,2,1,1,1,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,0,19,0
 Application_1116176146 Offer_241819511 Offer_1487855026 Offer_1903230351,27,6,0,0,0,1,1,0,0,6,0,0,1,0,0,2,3,0,0,1,0,3,0,1,1,6,0,1,21,4
 Offer_697416360 Application_200538025 Offer_2044240281,26,4,1,0,0,1,1,1,0,4,2,1,0,0,0,2,2,0,1,1,4,1,1,1,1,0,0,1,23,4
 Application_1776683336 Offer_771144450,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Offer_1423929274 Application_1974607780,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Application_1103246808 Offer_1275439695,20,2,1,1,1,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Application_241017706 Offer_1610110032,24,2,2,1,1,1,1,3,0,2,1,0,0,0,1,2,1,0,1,1,0,1,0,1,1,0,2,1,21,0
 Offer_307227580 Offer_1095204279 Application_1029307193,25,4,1,0,0,1,1,1,0,4,1,0,0,0,0,2,2,0,1,1,4,2,1,1,1,0,0,1,22,4
 Application_1471582833 Offer_515417373,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_2108016125 Application_2099188574,18,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,18,0
 Application_1888609428 Offer_1299672919,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_1673691129 Offer_137941685,16,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,1,1,0,1,0,1,1,2,0,1,16,3
 Application_373453984 Offer_598440206,26,2,3,2,2,1,1,3,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,5
 Application_655765028 Offer_462932763,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_782228788 Offer_1740066392,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_1366932536 Application_66593560 Offer_538319062,21,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,0,1,0,2,0,1,1,4,0,1,18,0
 Offer_1467514143 Application_2065471697 Offer_1538640273,21,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,0,1,0,2,0,1,1,4,0,1,18,0
 Offer_327093496 Application_962004890,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_200823591 Offer_1880280374,21,2,1,1,1,1,1,1,0,2,1,0,0,0,1,2,1,0,1,1,0,1,0,1,1,0,2,1,21,0
 Offer_109098826 Application_238652668,20,2,1,1,1,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_1333378030 Offer_561788494 Offer_1098607001 Application_190864626,27,6,0,0,0,1,1,0,0,6,0,0,1,0,0,2,3,0,0,1,0,3,0,1,1,6,0,1,21,4
 Application_1132617949 Offer_498126189,23,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,1,1,0,1,0,1,1,0,2,1,21,0
 Application_1540122719 Offer_2092292003,18,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,18,0
 Application_151321797 Offer_1746995658 Offer_1331300714,21,4,0,0,0,1,1,0,0,4,0,0,1,0,0,2,2,0,0,1,0,2,0,1,1,4,0,1,18,0
 Offer_2127986125 Offer_1525825854 Application_261385641,31,4,2,2,2,1,1,2,0,4,1,0,0,0,1,2,2,0,1,1,0,2,0,1,1,2,2,1,25,4
 Application_374744888 Offer_398132241,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_668004669 Offer_77602611,26,2,3,2,2,1,1,3,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,5
 Application_1889734765 Offer_1313162212,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_2081750451 Offer_1819733941,18,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,18,0
 Offer_2034369559 Application_240029818,18,2,1,0,0,1,1,1,0,2,1,0,0,0,0,2,1,0,0,1,2,1,1,1,1,0,0,1,18,0
 Application_997821859 Offer_887802005,20,2,1,1,1,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Application_1660172325 Offer_1377308485,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_2032742332 Offer_1456730811 Application_1884761256,24,4,1,0,0,1,1,1,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,22,4
 Application_965269408 Offer_1274882749,20,2,1,1,1,1,1,1,0,2,1,0,0,0,0,2,1,0,0,1,2,1,1,1,1,0,0,1,20,0
 Offer_1113408741 Application_2045105280,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Application_488809742 Offer_1398079303,26,2,3,2,2,1,1,3,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,5
 Application_1183967721 Offer_99473283,24,2,2,2,2,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,5
 Application_205598623 Offer_1498205032,18,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,18,0
 Application_1694891010 Offer_908914253,22,2,2,1,1,1,1,2,0,2,1,0,0,0,0,2,1,0,0,1,2,1,1,1,1,0,0,1,20,0
 Application_677304352 Offer_1049809090,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Offer_1846665801 Application_1309054175 Offer_619244460,32,4,3,2,2,1,1,3,0,4,1,0,0,0,1,2,2,0,1,1,0,1,0,1,1,2,2,1,24,1
 Application_115728304 Offer_1167061919,27,2,3,2,2,1,1,3,0,2,1,0,0,0,1,2,1,0,1,1,0,1,0,1,1,0,2,1,21,5
 Application_1893724558 Offer_323687444 Offer_860007843,28,4,2,1,1,1,1,2,0,4,1,0,0,0,1,2,2,0,0,1,0,2,0,1,1,2,2,1,24,4
 Offer_1343976739 Application_1715905831,18,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,18,0
 Application_948974622 Offer_1642395344 Offer_785627395,32,4,3,2,2,1,1,3,0,4,1,1,0,0,1,2,2,0,0,1,0,1,0,1,1,2,2,1,24,1
 Offer_33397112 Application_1647681717,23,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,1,1,0,1,0,1,1,0,2,1,21,0
 Application_1880399299 Offer_1530038882,15,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,1,15,3
 Application_1134823558 Offer_478659689,27,2,3,2,2,1,1,3,0,2,1,0,0,0,1,2,1,0,1,1,0,1,0,1,1,0,2,1,21,5
 Application_193740269 Offer_1295427914,16,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,1,1,0,1,0,1,1,2,0,1,16,3
 Offer_1632436546 Application_348076099,22,2,2,1,1,1,1,2,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,1,20,0
 Offer_1273023684 Application_1430641340,37,2,6,5,5,1,1,6,0,2,1,0,0,0,1,2,1,0,0,1,0,1,0,1,1,0,2,0,19,5
 Offer_1036958101 Application_1793705869,14,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,1,2,0,0,14,3
 Offer_1645947085 Offer_300198383 Application_68456270,34,4,3,2,2,1,1,3,0,4,2,1,0,0,1,2,2,0,1,1,0,1,0,1,1,2,2,1,26,1
 Offer_1682337084 Offer_1521810636 Application_741749509,27,4,2,1,1,1,1,2,0,4,1,0,0,0,1,2,2,0,0,1,0,1,0,1,1,2,2,1,23,4
 Offer_242592971 Application_366077993,23,2,2,2,2,1,1,2,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,19,5
 Application_1941145131 Offer_1138518611,18,2,1,0,0,1,1,1,0,2,1,0,0,0,0,2,1,0,0,1,2,1,1,1,1,0,0,1,18,0
 Offer_929702474 Application_1730282408,14,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,0,0,1,0,1,1,2,0,1,14,3
 Application_646743033 Offer_1387834171,19,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,1,1,0,1,0,1,1,0,2,1,19,0
 Offer_1541010109 Application_1080844329,17,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,17,0
 Offer_327332266 Application_919303,17,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,17,0
 Offer_1947663491 Application_1121166421,17,2,1,0,0,1,1,1,0,2,1,0,0,0,0,2,1,0,0,0,2,1,1,1,1,0,0,1,17,0
 Application_417974324 Offer_2058698622,17,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,17,0
 Application_1500367883 Offer_1614923547,14,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,0,0,1,0,1,1,2,0,1,14,3
 Application_1876375663 Offer_1867794558,17,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,17,0
 Offer_1845864689 Offer_1518187032 Application_1850018358,24,4,1,0,0,1,1,1,0,4,1,0,0,0,0,2,2,0,0,1,4,2,1,1,1,0,0,1,21,4
 Application_330129376 Offer_647696561,17,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,17,0
 Offer_150046300 Application_1404063073,17,2,1,0,0,1,1,1,0,2,1,0,0,0,1,2,1,0,0,0,0,1,0,1,1,0,2,1,17,0
 Offer_1875220152 Application_368988852,14,2,0,0,0,1,1,0,0,2,0,0,1,0,0,2,1,0,0,0,0,1,0,1,1,2,0,1,14,3
