@@object,@@object_lifecycle_length,@@object_general_interaction_graph,@@ocel_lif_activity_A_Validating,@@ocel_lif_activity_A_Incomplete,@@ocel_lif_activity_W_Call incomplete files,@@ocel_lif_activity_A_Accepted,@@ocel_lif_activity_A_Concept,@@ocel_lif_activity_W_Validate application,@@ocel_lif_activity_W_Shortened completion ,@@ocel_lif_activity_O_Created,@@ocel_lif_activity_O_Returned,@@ocel_lif_activity_O_Sent (online only),@@ocel_lif_activity_W_Assess potential fraud,@@ocel_lif_activity_W_Call after offers,@@ocel_lif_activity_O_Create Offer,@@ocel_lif_activity_W_Personal Loan collection,@@ocel_lif_activity_W_Handle leads,@@ocel_lif_activity_A_Submitted,@@ocel_lif_activity_O_Refused,@@ocel_lif_activity_O_Sent (mail and online),@@ocel_lif_activity_A_Denied,@@ocel_lif_activity_A_Create Application,@@ocel_lif_activity_A_Complete,@@ocel_lif_activity_O_Cancelled,@@ocel_lif_activity_W_Complete application,@@object_lifecycle_unq_act,cluster
 Application_824825632 Offer_947800077,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_1121766693 Offer_1027018730,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Application_445835283 Offer_1688603147,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_1928671334 Application_1681270445 Offer_1004739888,-0.543859649122807,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,-1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,1
 Application_374379677 Offer_758465156,-0.8245614035087719,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.6875,0
 Application_1639903603 Offer_842465276,-0.7543859649122807,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5625,1
 Application_1071410123 Offer_571833622,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_1651853591 Offer_506763318,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_185871731 Application_531666181,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_1335706399 Application_356026670,-0.8245614035087719,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.6875,0
 Offer_1333958249 Application_2113049304,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Application_353274103 Offer_9481015 Offer_190389550,-0.5087719298245614,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.3125,3
 Offer_906783997 Application_1141711101,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Offer_1197564594 Application_33542556,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Application_1912692425 Offer_967437203,-0.543859649122807,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.3125,2
 Offer_1336862060 Application_204227003,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_393973984 Application_1628595961 Offer_1903489925,-0.5087719298245614,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.3125,3
 Offer_1531640591 Application_104403072,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_80063242 Offer_1108853863 Offer_1857411752,-0.368421052631579,-0.75,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-0.75,-0.3333333333333333,-1.0,-0.3333333333333333,0.0,-0.75,-1.0,-1.0,-1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.1875,4
 Application_1355945644 Offer_757333828,-0.6140350877192983,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,4
 Offer_1643284472 Application_1847378722,-0.7543859649122807,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5625,1
 Offer_71382600 Application_1547943476,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_1407160059 Application_1984247659,-0.6140350877192983,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,4
 Offer_602068788 Application_885005865 Offer_2103554104,-0.543859649122807,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,-1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,1
 Application_1167637278 Offer_1290483934,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Offer_333988716 Application_274202829,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Application_1150025480 Offer_1781028080,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_1884786112 Application_1963086313,-0.6491228070175439,-1.0,-0.6666666666666667,-0.6,-0.6,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,2
 Application_202428545 Offer_199714913,-0.7543859649122807,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5625,1
 Offer_1979989984 Application_699037232,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5625,1
 Application_757178253 Offer_1874061520,-0.7543859649122807,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5625,1
 Offer_2105796551 Application_899806345,-0.6140350877192983,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Offer_427285010 Application_549932310,-0.7543859649122807,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5625,1
 Offer_1943611318 Offer_1630904068 Offer_2026994569 Offer_1501004717 Application_897614192,0.0175438596491226,-0.25,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-0.25,-0.3333333333333333,-1.0,-1.0,0.0,-0.25,-1.0,-1.0,-1.0,-0.1428571428571428,0.1428571428571428,-1.0,-1.0,1.0,-1.0,-0.75,0.125,1
 Application_540215973 Offer_81871850,-0.5789473684210527,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-1.0,-0.375,2
 Application_926752287 Offer_914171011,-0.543859649122807,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.3125,2
 Application_1968005554 Offer_1342666881 Offer_1433819530,-0.4736842105263158,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-0.6666666666666667,-1.0,1.0,-0.75,-1.0,-1.0,-1.0,-0.7142857142857142,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.3125,4
 Application_1067751978 Offer_820235368,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Offer_867249400 Offer_1393077562 Application_1974089627,-0.5087719298245614,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.3125,3
 Offer_1101986226 Application_122547923,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_958526796 Application_1499037624,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Offer_1769168660 Application_272558729,-0.7543859649122807,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5625,1
 Offer_259156443 Application_438021662,-0.4385964912280702,-1.0,0.0,-0.1999999999999999,-0.1999999999999999,-1.0,-1.0,-0.25,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,5
 Offer_1877256717 Application_1954144864,-0.9649122807017544,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-0.9375,0
 Offer_720758306 Offer_93087996 Application_258972625,-0.4736842105263158,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-0.5,1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.25,3
 Application_670941831 Offer_1751378150,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Offer_177884594 Application_826015211,-0.6140350877192983,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,2
 Application_1025327332 Offer_1065247978,-0.8245614035087719,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.6875,0
 Offer_42316372 Application_1412007004,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Offer_1123521898 Application_751576,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Offer_1604135497 Application_1081695790,-0.3333333333333332,-1.0,0.3333333333333332,0.2000000000000001,0.2000000000000001,-1.0,-1.0,0.0,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,4
 Application_1741076995 Offer_607128447,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_1598320370 Offer_2047948066,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,0
 Offer_1469319831 Application_1994370200 Offer_2145678227,-0.4736842105263158,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-0.3333333333333333,0.0,-0.75,-1.0,-1.0,1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.25,2
 Offer_1045053960 Offer_1621609510 Application_636936558,-0.5087719298245614,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,1.0,-0.7142857142857142,-0.4285714285714286,-1.0,-1.0,1.0,-1.0,-0.75,-0.3125,3
 Offer_509336327 Offer_1846264898 Application_1055375814 Offer_1440512568 Offer_752973239,-0.087719298245614,-0.25,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.25,-0.3333333333333333,-1.0,-1.0,0.0,-0.25,-1.0,-1.0,1.0,-0.7142857142857142,0.1428571428571428,-1.0,-1.0,1.0,0.3333333333333332,-0.75,0.125,3
 Application_776906675 Offer_1848016559,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,4
 Offer_1619609812 Application_647762796,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,4
 Application_1052740254 Offer_1263835415,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_1267400390 Offer_1401949806,-0.9649122807017544,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-0.9375,0
 Offer_1693372808 Offer_1837306707 Offer_354892148 Application_1695436993,-0.2631578947368422,-0.5,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.5,-0.3333333333333333,-1.0,-1.0,0.0,-0.5,-1.0,-0.5,1.0,-0.4285714285714285,-0.1428571428571429,-1.0,-1.0,1.0,-1.0,-0.75,-0.0625,3
 Application_1396027237 Offer_323756812,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Application_656979961 Offer_1716782993 Offer_1063742264,-0.5087719298245614,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,1.0,-1.0,-0.4285714285714286,-1.0,-1.0,1.0,-0.3333333333333333,-0.75,-0.25,3
 Application_456522373 Offer_1553919106,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_361505490 Offer_40478155,-0.7192982456140351,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5,0
 Application_1854749956 Offer_1194223821 Offer_2071409299,-0.4736842105263158,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-0.5,1.0,-1.0,-0.4285714285714286,-1.0,-1.0,1.0,-0.3333333333333333,-0.75,-0.1875,3
 Application_289454407 Offer_2009086484,-0.5789473684210527,-1.0,-0.3333333333333333,-0.6,-0.6,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,2
 Offer_636387546 Offer_477957610 Application_1658839362,-0.543859649122807,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-1.0,-1.0,0.0,-0.75,-1.0,-1.0,1.0,-0.7142857142857142,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,3
 Application_1329021086 Offer_1567809494,-0.6491228070175439,-1.0,-0.6666666666666667,-0.6,-0.6,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,2
 Application_346042050 Offer_564244221,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-0.3333333333333333,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,2
 Offer_809731209 Application_1857096322,-0.7894736842105263,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.625,0
 Application_1206551699 Offer_978224097 Offer_1100596066,-0.5087719298245614,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-0.6666666666666667,-1.0,0.0,-0.75,-1.0,-1.0,1.0,-0.7142857142857142,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.3125,3
 Offer_1353281112 Application_890509022,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Application_955563438 Offer_2108067949,-0.7543859649122807,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.5625,1
 Application_1241673992 Offer_1634904511,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
 Application_1121005474 Offer_1740739303 Offer_1653247669,-0.4736842105263158,-0.75,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-0.75,-0.3333333333333333,-0.6666666666666667,-1.0,0.0,-0.75,-1.0,-0.5,1.0,-0.7142857142857142,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.25,3
 Application_886797748 Offer_1263158876,-0.5087719298245614,-1.0,-0.3333333333333333,-0.1999999999999999,-0.1999999999999999,-1.0,-1.0,-0.5,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.375,5
 Offer_476297446 Application_1552373930,-0.6491228070175439,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,0.3333333333333332,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,2
 Application_1855557331 Offer_1762829578,-0.6842105263157895,-1.0,-0.6666666666666667,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.3333333333333333,-1.0,-1.0,0.0,-1.0,-1.0,-0.5,1.0,-1.0,-0.7142857142857143,-1.0,-1.0,1.0,-1.0,-0.75,-0.4375,0
